species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Alphaproteobacteria_unclassified_SGB64958,2.5985446958057918e-18,28.34983413911908,2.6167342161166912e-25,121.45079142619433,9.077526302874633,187,0.3838848721814778,2.6554991000974256e-17,True,1.9520837252230517e-22,True,17.585269808771898,16.575853841419683,1.9385143430711207e-15,True
s__GGB23686_SGB82209,3.282805215295521e-18,28.157071565470954,3.07831830530611e-22,107.06252553752171,9.420428035281457,187,0.38227248201746933,3.309422554878998e-17,True,9.224006810420547e-21,True,17.483754885297447,16.480247777555757,2.4489726906104588e-15,True
s__GGB46599_SGB64468,3.339099426733144e-18,28.143068701695295,3.6535815695293795e-22,106.71346517604343,6.744455863201955,187,0.38215502419778213,3.3212908964572343e-17,True,1.0094710558773767e-20,True,17.476370648978374,16.478693084897404,2.4909681723429254e-15,True
s__Pseudomonas_sp_DG56_2,3.955854259329189e-18,28.003617806914292,6.546114648789779e-15,72.55663307232656,6.337298468929642,187,0.38098285012958977,3.88298325981523e-17,True,1.516584325464961e-14,True,17.402759716957327,16.41083448176545,2.951067277459575e-15,True
s__Sphingorhabdus_lacus,5.945033421736392e-18,27.669496101012918,2.9195423627404246e-13,64.73966315116785,9.18657968764885,187,0.3781561658264566,5.759733678721232e-17,True,5.006847362308866e-13,True,17.225845699525543,16.239597597225355,4.434994932615348e-15,True
s__Polynucleobacter_asymbioticus,7.168470199096018e-18,27.516490610455808,2.5034544034927077e-21,102.79086976056807,10.74150753602448,187,0.37685309688816393,6.855998421186704e-17,True,3.661915656873647e-20,True,17.144573515877255,16.163929291095066,5.3476787685256296e-15,True
s__Brucella_anthropi,9.142199821727434e-18,27.318094878979004,8.932449890857213e-15,71.91778392134346,6.505027022530143,187,0.37515530891573956,8.633014008871728e-17,True,2.025412650024158e-14,True,17.038949290536824,16.063837554354595,6.8200810670086655e-15,True
s__GGB46599_SGB103509,1.2345584264090326e-17,27.07375669707699,7.805745382855608e-22,105.16649697354624,6.981391341621146,187,0.37305160886300703,1.151225732626423e-16,True,1.7645715320031163e-20,True,16.90848835193164,15.938839511450917,9.209805861011382e-15,True
s__Polymorphobacter_arshaanensis,2.1493382241437046e-17,26.624826893805263,3.196218874361836e-11,55.03393349633788,6.571801114853607,187,0.3691492658000688,1.9795139693965476e-16,True,4.807216290874858e-11,True,16.66769523768618,15.70344142909216,1.6034063152112037e-14,True
s__Candidatus_Nanopelagicus_SGB64093,3.3199980043670544e-17,26.274618670207577,1.5739258959830434e-20,99.04101629363404,10.60928539775929,187,0.3660711705196942,3.0203884283631984e-16,True,1.24909438128016e-19,True,16.478862177347963,15.51993720225901,2.4767185112578226e-14,True
s__Acinetobacter_pseudolwoffii,4.6316980886871555e-17,26.007532596590238,9.476919795725557e-14,67.05827085458289,7.302774333018448,187,0.36370339812047126,4.162947920675443e-16,True,1.6913354467969533e-13,True,16.334259757288066,15.380599022191472,3.455246774160618e-14,True
s__Sarcina_sp_DSM_11001,6.06591371340682e-17,25.791832846921423,2.218352099679627e-14,70.04720197140992,7.351774659533966,187,0.36177822643867086,5.387109083573199e-16,True,4.200230117667517e-14,True,16.21710377174672,15.268644230335935,4.525171630201488e-14,True
s__Aurantimicrobium_photophilum,7.897510052172447e-17,25.581446963511045,1.1002839419116504e-18,90.3671757859,10.527887168183954,187,0.35988922646218835,6.931226469318406e-16,True,3.8177293984469354e-18,True,16.102509812640257,15.15918991088188,5.891542498920645e-14,True
s__GGB39817_SGB99175,9.975388389958585e-17,25.39570232936296,3.0986409177618114e-16,78.81892369574204,6.168576414184544,187,0.35821215524999184,8.653069463847797e-16,True,8.285254927062047e-16,True,16.001070186134235,15.062829809905134,7.441639738909104e-14,True
s__Candidatus_Saccharimonas_aalborgensis,1.129187087518945e-16,25.297310599113068,5.5030978666883795e-15,72.91329892539333,7.262623694625463,187,0.357320220006069,9.464871542574528e-16,True,1.2789130867755549e-14,True,15.947234096741319,15.023885275913562,8.42373567289133e-14,True
s__GGB96995_SGB136899,1.1186581437745836e-16,25.304741767186943,1.8408013363797584e-14,70.43095376367152,6.588738417419331,187,0.3573876711589664,9.464871542574528e-16,True,3.8792028162127115e-14,True,15.951302611376262,15.023885275913562,8.345189752558394e-14,True
s__GGB25207_SGB41980,1.1187764477396003e-16,25.304657878038437,2.218352099679627e-14,70.04720197140992,7.084017558124669,187,0.3573869097937864,9.464871542574528e-16,True,4.200230117667517e-14,True,15.951256684885774,15.023885275913562,8.346072300137418e-14,True
s__GGB32215_SGB37143,1.4091612623843255e-16,25.121825023532807,2.218352099679627e-14,70.04720197140992,6.826312098919958,187,0.35572324865806904,1.1680381130430076e-15,True,4.200230117667517e-14,True,15.851039304011918,14.932542985978573,1.0512343017387069e-13,True
